domain,hsts,csp
timnegocia.com.br,max-age=63072000; includeSubDomains; preload,default-src https: data: blob: 'self' mailto: 'self' 'unsafe-inline' 'unsafe-eval' https://cdn.rybena.com.br; frame-ancestors 'self' https://www.gstatic.com/recaptcha https://www.google-analytics.com  https://www.google.com/recaptcha/; connect-src https: wss: blob:; img-src 'self' blob: data: https://cdn.rybena.com.br
rossiya-airlines.com,max-age=31536000,undefined
codicefiscaleonline.com,undefined,undefined
login.taobao.com,max-age=31536000,undefined
p131-fmfmobile.icloud.com,max-age=31536000; includeSubDomains;,undefined
p164-fmfmobile.icloud.com,max-age=31536000; includeSubDomains;,undefined
p159-fmfmobile.icloud.com,max-age=31536000; includeSubDomains;,undefined
nimhans.ac.in,NA,NA
alm.com,undefined,undefined
ns-482.awsdns-60.com,NA,NA
concept3d.com,max-age=31536000; includeSubdomains; preload,undefined
weavatools.com,undefined,undefined
popaganda.gr,undefined,undefined
kaufland.ro,max-age=31536000,frame-ancestors media.kaufland.de media.kaufland.com wissen-kaufland.kcenter.usu.com kaufland.staffbase.com 'self'
mecatechnic.com,max-age=31536000;,undefined
iezxmddndn.com,undefined,undefined
k3s.io,max-age=31556952,undefined
baby.ru,NA,NA
sexreal.link,undefined,undefined
eldiariodecarlospaz.com.ar,NA,NA
us04www3.zoom.us,max-age=31536000; includeSubDomains,upgrade-insecure-requests; default-src https://*.zoom.us https://zoom.us blob: 'self'; img-src https: about: blob: data: 'self'; style-src https: safari-extension: chrome-extension: 'unsafe-inline' data: 'self'; font-src https: safari-extension: chrome-extension: blob: data: 'self'; connect-src * about: blob: data: 'self'; media-src * rtmp: blob: data: 'self'; frame-src https: ms-appx-web: zoommtg: zoomus: wvjbscheme: zoomprc: data: blob: 'self'; object-src 'none'; base-uri 'none';script-src 'self' 'strict-dynamic' 'nonce-2Ss97jo-QlqN8ZeJZYp0UA' blob: https:;
japanpension.co.jp,NA,NA
123movies-to.org,undefined,undefined
login.sofi.com,max-age=31536000; includeSubDomains,undefined
premiumdns.zone,NA,NA
libra16-normal-useast8.tiktokv.us,max-age=31536000 ; includeSubDomains,undefined
buyerbridge.io,undefined,undefined
www.monster.com,max-age=31536000; includeSubDomains; preload,undefined
bradford.ac.uk,max-age=31536000; includeSubDomains,undefined
domgrom.com,undefined,undefined
umassmemorial.org,max-age=300,undefined
taraabar.net,max-age=2592000; preload,upgrade-insecure-requests
francescas.com,max-age=300,undefined
nof.org,undefined,undefined
adultfolio.com,undefined,undefined
editor-api-sg.capcut.com,undefined,undefined
usd.ac.id,undefined,undefined
info.pinyin.sogou.com,undefined,undefined
media.hingenexus.com,undefined,undefined
www.interactivebrokers.co.uk,max-age=600 ; includeSubDomains,frame-ancestors 'self' *.interactivebrokers.com *.interactivebrokers.ie *.interactivebrokers.hu *.interactivebrokers.ca *.interactivebrokers.com.hk *.interactivebrokers.ch *.interactivebrokers.co.uk *.interactivebrokers.com.au *.interactivebrokers.co.jp *.interactivebrokers.co.in *.ibkram.com IBKR.docebosaas.com *.interactiveadvisors.com *.ibkr.com *.ibkr.com.cn *.clientam.com *.youtube.com *.clientam.ch *.clientam.com.hk *.go-mpulse.net *.akstat.io impact.interactivebrokers.com widgets.tipranks.com site.recognia.com worldtrader.hsbc.ae *.ibkrcampus.com ibkrcampus.com www.ibkrguides.com *.greenwichcompliance.com;
builderallwp.com,undefined,undefined
nicheacademy.com,max-age=31536000,upgrade-insecure-requests
myjobmag.co.ke,undefined,undefined
xn--3dsq7teoyo9d.com,max-age=31536000; includeSubDomains; preload,undefined
rtb.fr3.eu.criteo.com,max-age=31536000; preload;,undefined
stiridecluj.ro,undefined,undefined
getcircuit.com,max-age=63072000,undefined
freshersnow.com,undefined,undefined
img-resize-cdn-prod.samsungnyc.com.cdn.cloudflare.net,NA,NA
listafirme.ro,undefined,undefined
staq-cdn.com,undefined,undefined
sportnews.bz,undefined,undefined
keysystems.ru,undefined,default-src https: data: blob: 'unsafe-inline' 'unsafe-eval'
gamerlaunch.com,undefined,undefined
iranconcert.com,max-age=2592000
max-age=2592000,undefined
widder.at,max-age=63072000,undefined
fs1.app,max-age=15768000,undefined
summitdaily.com,undefined,undefined
e11408.d.akamaiedge.net,NA,NA
samsungnyc.com.cdn.cloudflare.net,NA,NA
api-us1.com,NA,NA
versia.ru,max-age=63072000; includeSubdomains; preload,undefined
www.deseret.com,undefined,upgrade-insecure-requests
ce-uw2.lijit.com,undefined,undefined
sdqdptt.net.cn,NA,NA
tellerreport.com,undefined,undefined
javdoe.to,undefined,undefined
lensrentals.com,max-age=31536000; includeSubDomains,undefined
www.banxico.org.mx,max-age=480; preload,undefined
whatdotheyknow.com,max-age=631139040; includeSubdomains,undefined
kupikod.com,max-age=31536000; includeSubDomains; preload,undefined
fastly-tls12-bam-cell.nr-data.net,undefined,undefined
arede.info,undefined,undefined
syncsearch.jp,max-age=15768000,undefined
dominos.nl,max-age=15768000 ; includeSubDomains,undefined
costco.com.au,max-age=31536000 ; includeSubDomains ; preload,frame-ancestors 'self' https://*.costco.co.uk https://*.costco.com.au https://*.costco.com.mx https://*.costco.co.jp https://*.costco.fr https://*.costco.es https://*.costco.is https://*.costco.co.kr https://*.costco.com.tw
spellingtraining.com,undefined,undefined
casinobarcelona.es,undefined,undefined
solidhosting.pro,undefined,undefined
unime.it,undefined,undefined
fansale.it,NA,NA
cdntv.online,undefined,undefined
dapurhosting.net,NA,NA
np.stun.playstation.net,NA,NA
srhc.net,NA,NA
hayat.ba,undefined,undefined
p22-buy.itunes.apple.com,max-age=31536000; includeSubdomains,default-src 'self'  *.apple.com;
ford.fr,undefined,undefined
opendigitaleducation.com,undefined,undefined
sxl.cn,NA,NA
apktoy.com,undefined,undefined
lwxiaoshuo.org,max-age=31536000,undefined
jiangnan.edu.cn,NA,NA
goduke.com,NA,NA
www.pennmedicine.org,max-age=31536000,undefined
www.bt.com,NA,NA
ats-eks.us-west-2.dcs-online-targeting-prd.aws.oath.cloud,NA,NA
diginomica.com,max-age=31536000,report-uri /report-csp-violation
supleks.jp,undefined,undefined
orgasmatrix.com,undefined,undefined
shueisha.online,max-age=31536000,undefined
data-asset-directory-public-service-prod.ol.epicgames.com,undefined,undefined
student.teachtci.com,max-age=31536000; includeSubDomains;,script-src 'self' https: 'unsafe-inline' 'unsafe-eval' https://*.google-analytics.com http://*.google-analytics.com https://*.googletagmanager.com http://*.googletagmanager.com http://w.usabilla.com; img-src * android-webview-video-poster: data: blob: 'unsafe-inline'; object-src 'none'; default-src * about: moz-extension: safari-extension: safari-web-extension: data: blob: 'unsafe-inline'; report-uri /api/v2/csp_reports
us-west-2.dcs-online-targeting-prd.aws.oath.cloud,NA,NA
redcondor.net,NA,NA
medflyfish.com,NA,NA
germanywestcentral-prod.cosmic.office.net,NA,NA
megafamous.com,undefined,undefined
animedrive.hu,undefined,undefined
p139-fmfmobile.icloud.com,max-age=31536000; includeSubDomains;,undefined
www.audible.co.uk,max-age=47474747; includeSubDomains; preload,undefined
guap.ru,max-age=2592000,undefined
economie.gouv.fr,max-age=15552000; includeSubDomains; preload,default-src https: 'unsafe-eval' 'unsafe-inline'; object-src https: ; child-src https: platform.twitter.com; img-src https: data:; font-src 'self' data: https:; frame-ancestors 'self' bloctel.fr *.bloctel.fr bloctel.gouv.fr *.bloctel.gouv.fr http://bloctel.fr http://*.bloctel.fr http://bloctel.gouv.fr http://*.bloctel.gouv.fr;
sweepstakesfanatics.com,undefined,undefined
realtek.com.tw,NA,NA
directoalpaladar.com.mx,max-age=31536000; includeSubDomains; preload,undefined
ic3-edf-trouter.germanywestcentral-prod.cosmic.office.net,NA,NA
kuruc.info,max-age=2592000; includeSubDomains; preload,undefined
upjs.sk,undefined,undefined
www.livejournal.com,NA,NA
label-emmaus.co,undefined,undefined
performancemanager10.successfactors.com,max-age=31536000; includeSubDomains,undefined
locservice.fr,undefined,undefined
omp.ru,undefined,undefined
diywiki.org,undefined,undefined
true.academy,NA,NA
media.istockphoto.com,undefined,undefined
connectips.com,max-age=15768000;,undefined
mamot.fr,max-age=63072000; includeSubDomains,base-uri 'none'; default-src 'none'; frame-ancestors 'none'; font-src 'self' https://mamot.fr; img-src 'self' https: data: blob: https://mamot.fr; style-src 'self' https://mamot.fr 'nonce-UbhFhc13Do8T5KAEzhgrCw=='; media-src 'self' https: data: https://mamot.fr; frame-src 'self' https:; manifest-src 'self' https://mamot.fr; form-action 'self'; child-src 'self' blob: https://mamot.fr; worker-src 'self' blob: https://mamot.fr; connect-src 'self' data: blob: https://mamot.fr https://static.mamot.fr wss://mamot.fr; script-src 'self' https://mamot.fr 'wasm-unsafe-eval'
javsubid.net,max-age=31536000,undefined
aniwave.vc,undefined,undefined
musicasparamissa.com.br,NA,NA
rlicorp.com,NA,NA
agl.com.au,undefined,undefined
www.riteaid.com,NA,NA
gain.tv,undefined,undefined
comparic.pl,max-age=63072000; includeSubDomains; preload,undefined
honda.mx,NA,NA
forum.nexon.com,undefined,undefined
kuro5hin.org,NA,NA
elchubut.com.ar,NA,NA
juul.com,max-age=63072000; includeSubDomains; preload,undefined
qianxincdn.com,NA,NA
www.hibbett.com,max-age=2; includeSubDomains; preload,undefined
designdarum.co.kr,NA,NA
janpara.co.jp,NA,NA
radcom.hosting,undefined,undefined
yupcard.com,undefined,undefined
cointracking.info,max-age=31536000,frame-ancestors 'self'
lesanciennes.com,undefined,undefined
shaws.com,undefined,undefined
www.kenhub.com,max-age=31536000; includeSubDomains; preload,undefined
cambridgema.gov,NA,NA
eaglecable.net,NA,NA
unn.com.ua,undefined,undefined
radicati.com,undefined,undefined
www.hellomolly.com,NA,NA
roi.ru,max-age=31536000; includeSubdomains; preload,default-src 'none'; connect-src 'self' https://mc.yandex.ru/; font-src https://w.uptolike.com https://fonts.gstatic.com; frame-src 'self' https://roi.ru https://api-maps.yandex.ru; img-src 'self' data: https://api-maps.yandex.ru https://css.roi.ru https://www.roi.ru https://mc.yandex.ru https://static.roi.ru https://*.maps.yandex.net; script-src 'unsafe-inline' 'unsafe-eval' https://api-maps.yandex.ru/ https://*.maps.yandex.net https://www.roi.ru/ https://js.roi.ru/ https://mc.yandex.ru/metrika/watch.js https://speller.yandex.net https://w.uptolike.com; style-src 'self' 'unsafe-inline' https://css.roi.ru https://fonts.googleapis.com
newchic.com,undefined,undefined
www.conflictnations.com,undefined,undefined
canarymedia.com,undefined,undefined
adsimple.at,max-age=31536000;,undefined
fastcocreate.com,NA,NA
thansen.dk,undefined,frame-ancestors 'self'
twi-videos.net,NA,NA
bfp.us-east.ipv4.dotomi.weighted.com.akadns.net,NA,NA
www.liberty.edu,undefined,undefined
etopfun.com,undefined,undefined
hostvirtual.com,undefined,upgrade-insecure-requests
morgandetoi.fr,NA,NA
cincinnatistate.edu,max-age=300,undefined
www.postgresql.org,max-age=31536000,default-src 'self' ; img-src * data: ; script-src 'unsafe-eval' 'self' www.google-analytics.com ssl.google-analytics.com www.googletagmanager.com tagmanager.google.com data: ; connect-src 'self' www.google-analytics.com ssl.google-analytics.com ; media-src 'self' ; style-src 'self' fonts.googleapis.com tagmanager.google.com ; font-src 'self' fonts.gstatic.com data: ; frame-ancestors 'none' ; report-uri https://csp-report.postgresql.org/
adfa.edu.au,NA,NA
us-east.ipv4.dotomi.weighted.com.akadns.net,NA,NA
killtarget.biz,max-age=31536000;,undefined
dbsalliance.org,undefined,undefined
eu-nw-courier-4.push-apple.com.akadns.net,NA,NA
www.bootbarn.com,max-age=15552000; includeSubDomains; preload,undefined
p29-fmfmobile.icloud.com,max-age=31536000; includeSubDomains;,undefined
uniza.sk,undefined,undefined
domains.gannett.map.fastly.net,NA,NA
www.imf.org,max-age=31536000,upgrade-insecure-requests
cars.booking.com,max-age=2592000; includeSubDomains,undefined
rtuexam.net,max-age=31536000; includeSubDomains; preload,undefined
e9428.a.akamaiedge.net,NA,NA
nssi.bg,max-age=15768000,default-src 'self' 'unsafe-inline' 'unsafe-eval' https: noi.bg www.noi.bg nssi.bg www.nssi.bg; frame-ancestors 'none'
emedicine.medscape.com,undefined,upgrade-insecure-requests
default-src * data: blob: mailto: tel: 'unsafe-inline' 'unsafe-eval'; upgrade-insecure-requests
steam.tv,undefined,default-src blob: data: https: 'unsafe-inline' 'unsafe-eval'; script-src 'self' 'unsafe-inline' 'unsafe-eval' https://community.cloudflare.steamstatic.com/ https://cdn.cloudflare.steamstatic.com/steamcommunity/public/assets/ https://api.steampowered.com/ https://recaptcha.net https://www.google.com/recaptcha/ https://www.gstatic.cn/recaptcha/ https://www.gstatic.com/recaptcha/ https://www.youtube.com/ https://s.ytimg.com  https://www.youtube.com/iframe_api https://s.ytimg.com/yts/jsbin/ https://www.youtube.com/s/player/ wasm-eval; object-src 'none'; connect-src 'self' https://community.cloudflare.steamstatic.com/ https://store.steampowered.com/ https://checkout.steampowered.com/ wss://community.steam-api.com/websocket/ https://api.steampowered.com/ https://login.steampowered.com/ https://help.steampowered.com/ https://steam.tv/ https://steamcommunity.com/ https://*.valvesoftware.com https://*.steambeta.net https://*.discovery.beta.steamserver.net https://*.steamcontent.com https://steambroadcast.akamaized.net https://steambroadcast-test.akamaized.net https://broadcast.st.dl.eccdnx.com https://lv.queniujq.cn https://steambroadcastchat.akamaized.net http://127.0.0.1:27060 ws://127.0.0.1:27060 wss://*.cm.steampowered.com:* https://*.cm.steampowered.com:* wss://*.steamserver.net:* https://*.steamserver.net:* ws://localhost:27062 https://* ; frame-src 'self' steam: https://store.steampowered.com/ https://help.steampowered.com/ https://login.steampowered.com/ https://www.youtube.com https://www.google.com https://sketchfab.com https://player.vimeo.com https://medal.tv https://www.google.com/recaptcha/ https://recaptcha.net/recaptcha/ https://w.soundcloud.com https://codepen.io https://streamable.com/ https://player.twitch.tv/ https://clips.twitch.tv/ https://sketchfab.com/ https://open.spotify.com/; frame-ancestors 'self' https://steamloopback.host ;
kmgosi.co.kr,NA,NA
fragrantica.com.br,undefined,undefined
investisdigital.com,max-age=15768000 ; includeSubDomains,default-src 'self' data: 'unsafe-eval' 'unsafe-inline' blob: *.brightcove.com *.cloudfront.net *.doubleclick.net *.google.com *.facebook.com forms.hsforms.com app.hubspot.com brightcove.hs.llnwd.net matomo-prod.connectid.cloud house-fastly-signed-eu-west-1-prod.brightcovecdn.com https://forms.hubspot.com www.connectidfeed.com otp.tools.investis.com irs.tools.investis.com https://www.youtube.com/ https://youtu.be/ https://www.youtube.com/iframe_api *.investisapi.com investisapi.com *.posthog.com wec-assets.terminus.services player.vimeo.com players.brightcove.net; script-src 'self' 'unsafe-inline' 'unsafe-eval' *.convertexperiments.com *.hsforms.net *.jsdelivr.net *.googletagmanager.com *.connectid.cloud *.investis.com *.jquery.com *.cloudflare.com *.googleusercontent.com *.cloudfront.net *.hsforms.com *.facebook.net *.licdn.com *.google-analytics.com *.googleadservices.com *.investisdigital.com *.doubleclick.net *.lfeeder.com *.investis.com blob: data: *.hs-scripts.com *.google.com *.gstatic.com *.googleapis.com *.hsleadflows.net *.hsadspixel.net *.usemessages.com *.hs-analytics.net *.hs-banner.com brightcove.hs.llnwd.net matomo-prod.connectid.cloud unpkg.com tools.luckyorange.com *.investisapi.com investisapi.com *.posthog.com wec-assets.terminus.services; style-src 'self' 'unsafe-inline' 'unsafe-eval' *.googleapis.com *.cloudflare.com *.googleusercontent.com *.investis.com *.cloudfront.net ; img-src 'self' data: 'unsafe-inline' 'unsafe-eval' *.investisdigital.com *.connectid.cloud *.investis.com *.facebook.com *.linkedin.com *.google.com *.google.co.in *.cloudfront.net *.brightcove.com *.lfeeder.com *.adsymptotic.com *.google-analytics.com *.hsforms.com *.gstatic.com *.googleapis.com *.googletagmanager.com *.hubspot.com  brightcove.hs.llnwd.net cf-images.eu-west-1.prod.boltdns.net *.wpengine.com https://exceptions.hs-embed-reporting.com wec-assets.terminus.services match.adsrvr.org; font-src 'self' *.cloudfront.net *.googleusercontent.com *.gstatic.com; connect-src 'self' *.amazonaws.com *.brightcove.com *.luckyorange.net *.linkedin.com *.google-analytics.com *.investis.com *.doubleclick.net *.googleapis.com wss://*.visitors.live wss://visitors.live *.investisdigital.com *.hubspot.com *.hubapi.com forms.hsforms.com www.facebook.com api.luckyorange.com matomo-prod.connectid.cloud settings.luckyorange.com wss://mqtt.luckyorange.com/mqtt public-auth-dot-lucky-orange.appspot-preview.com api-preview.luckyorange.com wss://realtime.luckyorange.com app.posthog.com cdn.linkedin.oribi.io analytics.google.com *.visitors.live *.live; report-uri /report-csp-violation
lupin.com,max-age=31536000; includeSubDomains; preload,default-src 'self'; script-src data: 'self' 'unsafe-inline' 'unsafe-hashes' 'unsafe-eval' https://lupin.com https://lupin.com/US https://www.facebook.com https://www.youtube.com/ https://tags.srv.stackadapt.com https://www.google.co.in https://www.googletagmanager.com https://cdn.syndication.twimg.com https://*.gstatic.com https://www.google.com https://*.twitter.com https://*.lupin.com https://ssl.google-analytics.com https://moment.github.io https://cdn.jsdelivr.net https://code.jquery.com https://connect.facebook.net https://www.google-analytics.com https://cdnjs.cloudflare.com https://ajax.cloudflare.com https://cdnjs.cloudflare.com https://www.googleadservices.com https://snap.licdn.com https://googleads.g.doubleclick.net https://ajax.googleapis.com https://stats.wp.com; img-src 'self' data: https://wp-rocket.me https://www.facebook.com https://i1.wp.com https://www.google.co.in https://www.google.com https://*.twimg.com https://*.lupin.com https://i.ytimg.com https://ssl.google-analytics.com https://www.google-analytics.com https://cdn.page-source.com https://px.ads.linkedin.com https://www.googleadservices.com https://snap.licdn.com https://px4.ads.linkedin.com https://www.linkedin.com https://p.adsymptotic.com https://secure.gravatar.com https://pixel.wp.com https://lupin.com/US/ https://woocommerce.com http://lupinnewwebsiteuat.azurewebsites.net; style-src 'self' 'unsafe-inline' https://platform.twitter.com https://*.twimg.com https://*.lupin.com https://use.fontawesome.com https://cdnjs.cloudflare.com https://cdn.jsdelivr.net https://fonts.googleapis.com https://tags.srv.stackadapt.com; font-src 'self' data: https://lupin.com https://fonts.googleapis.com https://fonts.gstatic.com https://www.lupin.com/ https://lupinnewwebsite.azurewebsites.net; frame-src 'self' https://td.doubleclick.net https://www.facebook.com https://www.google.co.in https://*.twitter.com https://www.youtube.com https://www.google-analytics.com https://www.google.com https://content.dionglobal.in https://youtube.com; connect-src 'self' data: https://px.ads.linkedin.com/wa/ https://analytics.google.com https://stats.g.doubleclick.net https://*.lupin.com https://www.google-analytics.com https://lupin.com/US/ https://yoast.com https://tags.srv.stackadapt.com https://lupinnewwebsiteuat.azurewebsites.net https://cdn.linkedin.oribi.io; object-src 'none';
hellowork.careers,undefined,undefined
readnaturally.com,undefined,undefined
maxpornogratis.com,max-age=31536000;,undefined
etpgpb.ru,NA,NA
goodcleanhumor.com,max-age=63072000,undefined
www.servsafe.com,max-age=63072000; includeSubDomains; preload,default-src 'none';        media-src *.servsafe.com;     script-src 'self' *.servsafe.com 'unsafe-eval' 'unsafe-inline' munchkin.marketo.net apps.usw2.pure.cloud *.clarity.ms connect.facebook.net www.googleadservices.com ajax.googleapis.com *.google-analytics.com www.googletagmanager.com www.livehelpnow.net lptag.liveperson.net *.tableau.com *.tableausoftware.com *.doubleclick.net *.bing.com a.clarity.ms player.vimeo.com www.youtube.com  *.restaurant.org *.cloudfront.net apps.mypurecloud.com apps.usw2.pure.cloud cobrowse.usw2.pure.cloud bat.bing.com;     style-src 'self' 'unsafe-inline' *.googleapis.com *.restaurant.org apps.mypurecloud.com *.cloudfront.net cdn.jsdelivr.net;     font-src 'self' fonts.gstatic.com *.servsafe.com apps.mypurecloud.com *.cloudfront.net cdn.jsdelivr.net;      img-src 'self' data: *.servsafe.com *.google-analytics.com www.livehelpnow.net apps.mypurecloud.com *.bing.com *.doubleclick.net *.google.com *.facebook.com;     connect-src 'self' *.servsafe.com *.servsafe.com *.google-analytics.com *.mktoresp.com analytics.google.com *.doubleclick.net rum-ingest.us1.signalfx.com api.usw2.pure.cloud wss://streaming.usw2.pure.cloud wss://cobrowse.usw2.pure.cloud api-cdn.usw2.pure.cloud ws://webmessaging.usw2.pure.cloud *.googlesyndication.com;     frame-ancestors 'self' *.discoverlink.com;     child-src 'self' *.servsafe.com *.restaurant.org;        frame-src 'self' *.servsafe.com *.doubleclick.net *.googletagmanager.com www.facebook.com player.vimeo.com  www.youtube.com *.restaurant.org *.cloudfront.net apps.usw2.pure.cloud *.bing.com
colins.com.tr,max-age=16000000; includeSubDomains; preload;,frame-ancestors 'self';
1plus1tv.zone,undefined,undefined
www.myfonts.com,max-age=7889238,block-all-mixed-content; frame-ancestors 'none'; upgrade-insecure-requests;
socks.live.bigo.sg,NA,NA
nettruyen5.com,undefined,undefined
scoredit.com,undefined,undefined
girlfriendgalleries.net,undefined,undefined
sdk.amazonaws.com,max-age=31536000,upgrade-insecure-requests; script-src 'self' 'unsafe-inline' *.awsstatic.com *.cdn.uis.awsstatic.com *.cdn.console.awsstatic.com docs.aws.amazon.com; object-src 'none'; frame-ancestors 'self'; base-uri 'none'
green-way.com.ua,undefined,undefined
hertfordshire.gov.uk,undefined,frame-ancestors 'self' https://hertfordshire.gov.uk https://*.hertfordshire.gov.uk https://su-uk-d365-bps-hcccsc-p.crm11.dynamics.com https://su-secu-azu-d365-bps-hcccsc-d.crm11.dynamics.com https://su-uk-d365-bps-hcccsc-t.crm11.dynamics.com https://su-uk-d365-bps-hcccsc-u.crm11.dynamics.com https://su-uk-d365-bps-hcccsc-l.crm11.dynamics.com https://su-uk-d365-bps-hcccsc-p.crm11.dynamics.com;
www.123rf.com,undefined,undefined
muropaketti.com,undefined,undefined
www.harley-davidson.com,undefined,undefined
replit.dev,max-age=31536000; preload,undefined
www.aritzia.com,max-age=10800000,undefined
console.firebase.google.com,max-age=31536000; includeSubDomains,script-src 'report-sample' 'nonce-9CLtjK8BArDLmDwui5wJ7w' 'unsafe-inline';object-src 'none';base-uri 'self';report-uri /v3/signin/_/AccountsSignInUi/cspreport;worker-src 'self'
script-src 'unsafe-inline' 'self' https://apis.google.com https://ssl.gstatic.com https://www.google.com https://www.googletagmanager.com https://www.gstatic.com https://www.google-analytics.com;report-uri /v3/signin/_/AccountsSignInUi/cspreport/allowlist
require-trusted-types-for 'script';report-uri /v3/signin/_/AccountsSignInUi/cspreport
vod62c350g.airspace-a.cbsivideo.com,undefined,undefined
lums.edu.pk,NA,NA
cbe.ab.ca,NA,NA
p45-imap.mail.me.com,NA,NA
titshub.com,NA,NA
globnix.net,NA,NA
parameter1.com,undefined,undefined
cariuma.com,max-age=7889238,block-all-mixed-content; frame-ancestors 'none'; upgrade-insecure-requests;
pequerecetas.com,undefined,undefined
pornky.com,undefined,undefined
mobexpert.ro,NA,NA
www.boohoo.com,NA,NA
infzm.com,undefined,undefined
livesession.io,max-age=31536000,undefined
csgnetwork.com,NA,NA
negocioleonisa.com,NA,NA
wag-static.com,NA,NA
justindianxporn.com,undefined,undefined
threatspike.com,max-age=31536000; includeSubDomains,frame-ancestors *.threatspike.com
idbroker-a.wbx2.com,undefined,undefined
akinox.dev,NA,NA
ifs.com,NA,NA
winstakes.com,undefined,undefined
conservativebrief.com,undefined,undefined
ncloudstorage.com,NA,NA
schoolofwordplay.com,NA,NA
afnet.net,NA,NA
servpac.com,undefined,undefined
www.grab.com,undefined,frame-ancestors 'self' https://splytech.io https://*.splytech.io
gottabemobile.com,undefined,undefined
wisokykulas.bid,NA,NA
oneabbott.com,NA,NA
ims-v4.paramount.tech,undefined,undefined
qlife.jp,NA,NA
pccu.edu.tw,NA,NA
i-motion.de,max-age=31536000,undefined
newmuseum.org,NA,NA
seikyoonline.com,NA,NA
pichak.net,undefined,undefined
gigenet.com,max-age=15552000,undefined
caster.fm,undefined,undefined
mmy.ne.jp,NA,NA
vacasa.io,NA,NA
kalahariresorts.com,max-age=63072000; includeSubDomains; preload,default-src https: 'unsafe-inline' 'unsafe-eval';frame-ancestors 'self';upgrade-insecure-requests;
flutterwave.com,max-age=31536000; includeSubDomains; preload,default-src 'self'; script-src 'self' 'unsafe-inline'; style-src 'self' 'unsafe-inline'; img-src 'self' data: https:; connect-src 'self' https:; object-src 'none'; frame-ancestors 'self' https://app.flutterwave.com https://dashboard.flutterwave.com https://f4b-dashboard-v3-preprod.tls-flutterwave.com; script-src-elem 'unsafe-inline' https:; frame-src 'self' https:;
janamtv.com,NA,NA
ibc.org,NA,NA
blood.ca,NA,NA
accdn.livepersonk.akadns.net,NA,NA
lacoccinelle.net,max-age=31536000; includeSubDomains; preload,undefined
nicusa-gl.com,NA,NA
livefpl.net,undefined,undefined
hao.360.com,NA,NA
vdi.de,max-age=63072000; includeSubDomains; preload,undefined
widencollective.com,max-age=63072000; includeSubDomains,upgrade-insecure-requests
frame-ancestors 'self'
www.news-medical.net,max-age=15552000,undefined
bank.discover.com,NA,NA
geo.accdn.livepersonk.akadns.net,NA,NA
naurok.ua,undefined,undefined
unimo.it,NA,NA
sibokep.guru,undefined,undefined
hy7044olb.puzztake.com,NA,NA
www.justgiving.com,max-age=63072000; includeSubDomains; preload,undefined
effex.ru,max-age=63072000; includeSubDomains; preload,undefined
jobadder.com,max-age=31536000; includeSubDomains,undefined
apiproxy-logging-s1-fda6d13c2f6a9750.elb.us-west-2.amazonaws.com,NA,NA
people.googleapis.com,undefined,undefined
europe.x.cp.wd.microsoft.com,NA,NA
nagor.cn,NA,NA
revechat.com,NA,NA
lotteria.jp,undefined,undefined
hyperxgaming.com,NA,NA
satchelone.com,max-age=16000000; includeSubDomains; preload;,undefined
bokt.nl,undefined,undefined
www.rci.com,max-age=31536000 ; includeSubDomains,undefined
www.rtings.com,undefined,undefined
adam4adamsfw.com,NA,NA
trk.sensic.net,NA,NA
webtretho.com,NA,NA
fbs2-t-msedge.net,NA,NA
www.wendys.com,undefined,undefined
nextron-systems.com,undefined,undefined
exohosting.sk,undefined,undefined
